Entity,Code,Year,UHC Index
Nigeria,NGA,2010,34.00522
Niue,NIU,2000,42.3637
Niue,NIU,2005,43.66346
Niue,NIU,2010,53.49199
North Korea,PRK,2000,46.04457
North Korea,PRK,2005,49.07719
North Korea,PRK,2010,53.3358
North Macedonia,MKD,2000,57.59447
North Macedonia,MKD,2005,58.14938
North Macedonia,MKD,2010,64.25138
Norway,NOR,2000,72.26675
Norway,NOR,2005,80.84426
Norway,NOR,2010,84.14694
Oceania (9) (UN),,2000,67.30342
Oceania (9) (UN),,2005,68.36896
Oceania (9) (UN),,2010,70.76475
Oman,OMN,2000,60.68038
Oman,OMN,2005,62.46003
Oman,OMN,2010,66.87055
Pakistan,PAK,2000,21.7702
Pakistan,PAK,2005,28.20218
Pakistan,PAK,2010,32.97353
Palau,PLW,2000,47.37368
Palau,PLW,2005,49.13772
Palau,PLW,2010,57.84193
Panama,PAN,2000,61.6098
Panama,PAN,2005,67.40448
Panama,PAN,2010,71.88011
Papua New Guinea,PNG,2000,24.8393
Papua New Guinea,PNG,2005,25.98899
Papua New Guinea,PNG,2010,33.07228
Paraguay,PRY,2000,47.50436
Paraguay,PRY,2005,58.50354
Paraguay,PRY,2010,68.03709
Peru,PER,2000,47.89023
Peru,PER,2005,58.55022
Peru,PER,2010,70.04292
Philippines,PHL,2000,36.31266
Philippines,PHL,2005,38.40657
Philippines,PHL,2010,47.95707
Poland,POL,2000,65.79383
Poland,POL,2005,71.48678
Poland,POL,2010,75.49274
Portugal,PRT,2000,73.56623
Portugal,PRT,2005,79.62822
Portugal,PRT,2010,83.53566
Qatar,QAT,2000,52.24769
Qatar,QAT,2005,53.7298
Qatar,QAT,2010,66.79881
Romania,ROU,2000,68.63213
Romania,ROU,2005,71.76083
Romania,ROU,2010,73.72845
Russia,RUS,2000,54.26154
Russia,RUS,2005,49.88257
Russia,RUS,2010,70.12196
Rwanda,RWA,2000,18.7014
Rwanda,RWA,2005,26.07757
Rwanda,RWA,2010,38.95656
Saint Kitts and Nevis,KNA,2000,53.13859
Saint Kitts and Nevis,KNA,2005,66.0196
Saint Kitts and Nevis,KNA,2010,72.38799
Saint Lucia,LCA,2000,49.39138
Saint Lucia,LCA,2005,61.98908
Saint Lucia,LCA,2010,67.65661
Saint Vincent and the Grenadines,VCT,2000,48.76612
Saint Vincent and the Grenadines,VCT,2005,60.98172
Saint Vincent and the Grenadines,VCT,2010,67.72204
Samoa,WSM,2000,40.53957
Samoa,WSM,2005,38.58097
Samoa,WSM,2010,47.86596
San Marino,SMR,2000,68.98303
San Marino,SMR,2005,72.95224
San Marino,SMR,2010,75.25352
Sao Tome and Principe,STP,2000,32.70851
Sao Tome and Principe,STP,2005,37.24185
Sao Tome and Principe,STP,2010,46.8507
Saudi Arabia,SAU,2000,64.68455
Saudi Arabia,SAU,2005,67.25365
Saudi Arabia,SAU,2010,68.96962
Senegal,SEN,2000,21.14888
Senegal,SEN,2005,25.37049
Senegal,SEN,2010,36.98137
Serbia,SRB,2000,44.35506
Serbia,SRB,2005,62.85669
Serbia,SRB,2010,63.36807
Seychelles,SYC,2000,44.24134
Seychelles,SYC,2005,47.97737
Seychelles,SYC,2010,59.41133
Sierra Leone,SLE,2000,14.3157
Sierra Leone,SLE,2005,16.4179
Sierra Leone,SLE,2010,26.73673
Singapore,SGP,2000,63.87043
Singapore,SGP,2005,70.14104
Singapore,SGP,2010,81.53992
Slovakia,SVK,2000,64.85145
Slovakia,SVK,2005,73.00352
Slovakia,SVK,2010,75.63513
Slovenia,SVN,2000,72.78382
Slovenia,SVN,2005,73.62452
Slovenia,SVN,2010,77.43741
Solomon Islands,SLB,2000,30.9107
Solomon Islands,SLB,2005,32.23912
